Sand;Silt;Clay;Li670;Mg518;Si288;Fe330;CN383;Na819;Textural_group;Group
26.1;35.8;38.1;2416.25;3410.75;8074.25;171.5;2659.25;1640.875;Loamy;Loamy
33.9;35.8;30.3;1776.625;1307.25;5497.375;31.875;1083;353.75;Loamy;Loamy
19.4;35.8;44.8;2186.25;2652.875;6363.625;110.25;2073.25;863.875;Clayey;Clayey
41.2;35.8;23;1613.875;1416.125;6975;90.375;1149.125;608.875;Loamy;Loamy
28.9;34;37.1;2048;2284.125;7418.375;141.625;2029.125;986.375;Loamy;Loamy
26.9;34;39.1;1721.375;1872;6015.625;91.125;1414.75;712;Loamy;Loamy
53;33.9;13.1;1350.5;1337.75;4259.75;83.125;1122.375;450.625;Loamy;Loamy
51.1;33.8;15.1;1563;1374.25;5404.375;24;1234.875;279.875;Loamy;Loamy
33.3;33.8;32.9;1381.25;1574;5433.5;16.5;1312.25;383.875;Loamy;Loamy
50.9;33.8;15.3;2294;2790.625;8336.375;166.5;2327.375;840.25;Loamy;Loamy
58.9;32;9.1;1279.25;1018.625;5707.375;93.125;832.25;529;Loamy;Loamy
48.3;31.9;19.8;2548.875;2389.875;9692.25;143;2041.75;1196.625;Loamy;Loamy
24.3;31.9;43.8;1792.125;2037.75;6447.375;119.125;1534.5;592.875;Clayey;Clayey
47;31.9;21.1;1090.75;1075;5461.875;73.375;1000.875;332.125;Loamy;Loamy
22.4;31.9;45.7;1829.5;1769.875;5806.375;56.25;1333.25;521.125;Clayey;Clayey
25.3;31.8;42.9;2256.625;3244.625;7702.5;198.375;2491.5;1377.375;Clayey;Clayey
59.2;31.7;9.1;1689.25;1617.25;5911.875;91.75;1313;728;Loamy;Loamy
59.5;31;9.5;1522.375;1164;5803.875;55.5;1142;395.25;Loamy;Loamy
29;30;41;3163.875;3123.5;9160.75;217.375;2591;1434.625;Clayey;Clayey
43.7;30;26.3;1698.25;1848.375;6612.125;55.25;1515.625;642.75;Loamy;Loamy
59.1;29.8;11.1;1847.75;2061.25;9778.125;148.75;1609.25;1060.625;Loamy;Loamy
51.5;29;19.5;1946.375;1682.5;5704.125;79.125;1518.25;558.75;Loamy;Loamy
58.2;28;13.8;1250.875;897.625;5502.375;97.625;861.25;620.25;Loamy;Loamy
58.2;28;13.8;1165.125;982.125;4704.375;-5.5;936.125;146.75;Loamy;Loamy
56.9;28;15.1;1821.625;1273.625;6950.125;93;975.875;776.25;Loamy;Loamy
44.7;28;27.3;1980.75;1204.375;6102.25;59.75;946.5;446.875;Loamy;Loamy
57;27.9;15.1;2019.375;2164.625;7171.625;52;1541.625;438.875;Loamy;Loamy
5;27.9;67.1;3109.5;4712;9039.5;430.875;3780.625;2602.25;Clayey;Clayey
43.6;26.8;29.6;1800.375;1946;6375.75;171.5;1669.625;902.625;Loamy;Loamy
56.9;26;17.1;1763.125;1693.875;6888.75;129.5;1365.5;819.125;Loamy;Loamy
59.1;25.8;15.1;887.5;797.625;5104.375;57.375;670.125;231.75;Loamy;Loamy
42.5;25.8;31.7;1555;1677;7505.25;158.25;1562.125;1001.875;Loamy;Loamy
61.2;25.8;13;2263.75;2534.625;10336.875;194.375;2403;1250.25;Loamy;Loamy
15;24.9;60.1;2869.875;3981.5;8459;309.375;3152.75;2128.75;Clayey;Clayey
16.9;24;59.1;2320.25;2478.875;7444.875;108.625;2072.5;718.875;Clayey;Clayey
51.2;23.9;24.9;1926.375;1582.75;6706;74.875;1464.5;593.5;Loamy;Loamy
65;23.9;11.1;1585.625;975.625;6007.125;87.875;832;459.25;Loamy;Loamy
67;23.9;9.1;993.125;686.125;5206;85.875;542.75;718.75;Loamy;Loamy
7;23.9;69.1;2518.625;3664.5;8295.25;305.25;2768.125;2117.75;Clayey;Clayey
25;22.9;52.1;2182.25;2954.375;7233.625;167.375;2471.375;1266.875;Clayey;Clayey
52.2;22;25.8;1709;1831.625;6905.375;139.75;1631.25;1058.25;Loamy;Loamy
47.1;21.9;31;2447.75;3066.375;8320.375;279.625;2538.875;1670.375;Loamy;Loamy
